2048-android,uberspot/2048-android
4pdaClient-plus,slartus/4pdaClient-plus
a2dpvolume,jroal/a2dpvolume
abcore,greenaddress/abcore
AddressToGPS,DanielBarnett714/AddressToGPS
afwall,ukanth/afwall
aiproute,benjaminaigner/aiproute
AmazeFileManager,arpitkh96/AmazeFileManager
amdroid,Dejvino/amdroid
and-bible,mjdenham/and-bible
andFHEM,klassm/andFHEM
AndrOBD,fr3ts0n/AndrOBD
android-anuto,reloZid/android-anuto
android-cache-cleaner,Frozen-Developers/android-cache-cleaner
Android-IMSI-Catcher-Detector,CellularPrivacy/Android-IMSI-Catcher-Detector
android_packages_apps_UnifiedNlp,microg/android_packages_apps_UnifiedNlp
Android-Password-Store,zeapo/Android-Password-Store
android-pedometer,bagilevi/android-pedometer
Android-Remote,clementine-player/Android-Remote
Android-SecretCodes,SimonMarquis/Android-SecretCodes
androidtoken,markmcavoy/androidtoken
androidwisprclient,gjedeer/androidwisprclient
android-xbmcremote,freezy/android-xbmcremote
andstatus,andstatus/andstatus
anewjkuapp,marunjar/anewjkuapp
Anki-Android,ankidroid/Anki-Android
anstop,jdmonin/anstop
AnyMemo,helloworld1/AnyMemo
ApkTrack,JusticeRage/ApkTrack
apps-android-wikipedia,wikimedia/apps-android-wikipedia
arxiv-mobile,jdeslip/arxiv-mobile
ATimeTracker,netmackan/ATimeTracker
Atomic,indrora/Atomic
bankdroid,liato/android-bankdroid
BartRunnerAndroid,dougkeen/BartRunnerAndroid
Baumann_Theme,scoute-dich/Baumann_Theme
berlin-vegan-guide,Berlin-Vegan/berlin-vegan-guide
Binaural-Beats,GiorgioRegni/Binaural-Beats
BipolAlarm,iexos/BipolAlarm
bitcoin-wallet,schildbach/bitcoin-wallet
Blackbulb,fython/Blackbulb
BlitzMail,grote/BlitzMail
blokish,scoutant/blokish
bluetooth-spp-terminal,Sash0k/bluetooth-spp-terminal
bluetoothviewer,janosgyerik/bluetoothviewer
boilr,drpout/boilr
book-catalogue,eleybourn/Book-Catalogue
brouter,abrensch/brouter
bubble,nkanaev/bubble
busybox,meefik/busybox
cacert,guardianproject/cacert
calendar-import-export,SufficientlySecure/calendar-import-export
calendar-widget,plusonelabs/calendar-widget
CampFahrplan,tuxmobil/CampFahrplan
CertTools,netmackan/CertTools
chanu,grzegorznittner/chanu
chromadoze,pmarks-net/chromadoze
clean-status-bar,emmaguy/clean-status-bar
client-android,PhotoBackup/client-android
Clover,Floens/Clover
cmus-android-remote,jatwigg/cmus-android-remote
connectbot,connectbot/connectbot
Conversations,siacs/Conversations
cryptfs-password-manager,nelenkov/cryptfs-password-manager
debatekeeper,czlee/debatekeeper
debDroid,scheich/debDroid
derandom,asnelt/derandom
Diaspora-Webclient,voidcode/Diaspora-Webclient
Dictionary,rdoeffinger/Dictionary
diskusage,IvanVolosyuk/diskusage
divedroid,obale/divedroid
document-viewer,SufficientlySecure/document-viewer
domodroid,domogik/domodroid
dotdash-keyboard-android,agwells/dotdash-keyboard-android
drawable-notepad,szafir1100/drawable-notepad
Drinks,amasciul/Drinks
DroidBeard,rastating/DroidBeard
droidfish,peterosterlund2/droidfish
DroidPersianCalendar,ebraminio/DroidPersianCalendar
DroidShows,ltGuillaume/DroidShows
drumon,tube42/drumon
dscautorename,ciubex/dscautorename
duckduckgo,duckduckgo/Android
Easy_xkcd,T-Rex96/Easy_xkcd
elementary,ultramega/elementary
EnigmAndroid,vanitasvitae/EnigmAndroid
episodes,jamienicol/episodes
Equate,EvanRespaut/Equate
EternityWallAndroid,RCasatta/EternityWallAndroid
external_jbirdvegas_mGerrit,JBirdVegas/external_jbirdvegas_mGerrit
FaceSlim,indywidualny/FaceSlim
FancyPlaces,gabm/FancyPlaces
FasterGPS,Free-Software-for-Android/FasterGPS
FAST,ligi/FAST
FineGeotag,M66B/FineGeotag
flashlight,openintents/flashlight
flashlight,sanbeg/flashlight
Flite-TTS-Engine-for-Android,happyalu/Flite-TTS-Engine-for-Android
Flym,FredJul/Flym
forecastie,martykan/forecastie
fosdem-companion-android,cbeyls/fosdem-companion-android
FRCAndroidWidget,caarmen/FRCAndroidWidget
Freebloks-Android,shlusiak/Freebloks-Android
FreifunkAutoConnectApp,WIStudent/FreifunkAutoConnectApp
Gadgetbridge,Freeyourgadget/Gadgetbridge
gamemasterdice,ge0rg/gamemasterdice
gasflow,mridang/gasflow
gearshift,urandom/gearshift
getChromium,andDevW/getChromium
GfxTablet,rfc2822/GfxTablet
gift-card-guard,brarcher/gift-card-guard
gisapp,nextgis/android_gisapp
gobandroid,ligi/gobandroid
GreenBits,greenaddress/GreenBits
HandyNotes,atd/HandyNotes
HayaiLauncher,seizonsenryaku/HayaiLauncher
hn-android,manmal/hn-android
holokenmod,queler/holokenmod
hotdeath,jpriebe/hotdeath
hubble_gallery,derekcsm/hubble_gallery
ICSImport,danielegobbetti/ICSImport
ImapNote2,nbenm/ImapNote2
intent-intercept,intrications/intent-intercept
intent_radio,smblott-github/intent_radio
irssiconnectbot,irssiconnectbot/irssiconnectbot
jamendo-android,telecapoland/jamendo-android
jaws,jannispinter/jaws
JumpGo,JTechMe/JumpGo
k-9,k9mail/k-9
KISS,Neamar/KISS
kolabnotes-android,konradrenner/kolabnotes-android
kontalk-androidclient,kontalk/androidclient
Kore,xbmc/Kore
LeafPic,HoraApps/LeafPic
library,cgogolin/library
Lightning-Browser,anthonycr/Lightning-Browser
LinuxDayAppAndroid,DocSalvi/LinuxDayAppAndroid
listmyaps,onyxbits/listmyaps
Local-GSM-Backend,n76/Local-GSM-Backend
LocationShare,pR0Ps/LocationShare
LogicalDefence,LukeStonehm/LogicalDefence
loyalty-card-locker,brarcher/loyalty-card-locker
lumicall,opentelecoms-org/lumicall
materialistic,hidroh/materialistic
mBrowser,chelovek84/mBrowser
meeting-room,futurice/meeting-room-tablet
MensaGuthaben,jakobwenzel/MensaGuthaben
meteroid,chaosdorf/meteroid
microchip,mridang/microchip
MifareClassicTool,ikarus23/MifareClassicTool
MiMangaNu,raulhaag/MiMangaNu
min-cal-widget,mvmike/min-cal-widget
ministocks,niteshpatel/ministocks
MissedNotificationsReminder,httpdispatch/MissedNotificationsReminder
moneybalance,inguin/moneybalance
MozStumbler,mozilla/MozStumbler
mtg-familiar,AEFeinstein/mtg-familiar
muzei-apod,igoralmeida/muzei-apod
muzei,romannurik/muzei
MyExpenses,mtotschnig/MyExpenses
MyHackerspace,fixme-lausanne/MyHackerspace
mylocation,gjedeer/mylocation
MyOwnNotes,aykit/MyOwnNotes
mythmote,pot8oe/mythmote
NetGuard,M66B/NetGuard
network-monitor,caarmen/network-monitor
news-android-app,owncloud/News-Android-App
nextcloud,nextcloud/android
NominatimGeocoderBackend,microg/NominatimGeocoderBackend
nori,tjg1/nori
notepad,openintents/notepad
nusic,schnatterer/nusic
nztides,jevonlongdell/nztides
oandbackup,jensstein/oandbackup
offline-calendar,SufficientlySecure/offline-calendar
Omni-Notes,federicoiosue/Omni-Notes
opacclient,opacapp/opacclient
OpenBikeSharing,bparmentier/OpenBikeSharing
openbmap,wish7code/openbmap
open-event-android,fossasia/open-event-android
OpenManga,nv95/OpenManga
